id;name;suhu;kelembaban;cahaya;keran;date
1740;syarif;27;95;00.34;50.07.00;04/08/20 12.07
1741;syarif;27;95;00.39;50.08.00;04/08/20 12.07
1742;syarif;27;95;00.39;50.08.00;04/08/20 12.07
1743;syarif;27;95;00.39;50.08.00;04/08/20 12.08
1744;syarif;27;95;00.39;50.08.00;04/08/20 12.08
1745;syarif;27;95;00.29;51.32.00;04/08/20 12.08
1746;syarif;27;95;00.29;51.32.00;04/08/20 12.09
1747;syarif;27;95;00.34;50.07.00;04/08/20 12.09
1748;syarif;27;95;00.29;51.32.00;04/08/20 12.09
1749;syarif;27;95;00.39;50.08.00;04/08/20 12.09
1750;syarif;27;95;00.34;50.07.00;04/08/20 12.10
1751;syarif;27;95;00.39;50.08.00;04/08/20 12.10
1752;syarif;27;95;00.29;51.32.00;04/08/20 12.10
1753;syarif;27;95;00.29;51.32.00;04/08/20 12.10
1754;syarif;27;95;00.29;51.32.00;04/08/20 12.11
1755;syarif;27;95;00.39;50.08.00;04/08/20 12.11
1756;syarif;27;95;00.34;50.07.00;04/08/20 12.11
1757;syarif;27;95;00.29;51.32.00;04/08/20 12.11
1758;syarif;27;95;00.34;50.07.00;04/08/20 12.12
1759;syarif;27;95;00.39;50.08.00;04/08/20 12.12
1760;syarif;27;95;00.39;50.08.00;04/08/20 12.12
1761;syarif;27;95;00.29;51.32.00;04/08/20 12.12
1762;syarif;27;95;00.44;51.35.00;04/08/20 12.13
1763;syarif;27;95;00.39;50.08.00;04/08/20 12.13
1764;syarif;27;95;00.29;51.32.00;04/08/20 12.13
1765;syarif;27;95;00.34;50.07.00;04/08/20 12.13
1766;syarif;27;95;00.39;50.08.00;04/08/20 12.14
1767;syarif;27;95;00.29;51.32.00;04/08/20 12.14
1768;syarif;27;95;00.39;50.08.00;04/08/20 12.14
1769;syarif;27;95;00.39;50.08.00;04/08/20 12.14
1770;syarif;27;95;00.29;51.32.00;04/08/20 12.15
1771;syarif;27;95;00.39;50.08.00;04/08/20 12.15
1772;syarif;27;95;00.29;51.32.00;04/08/20 12.15
1773;syarif;27;95;00.39;50.08.00;04/08/20 12.15
1774;syarif;27;95;00.34;50.07.00;04/08/20 12.16
1775;syarif;27;95;00.29;51.32.00;04/08/20 12.16
1776;syarif;27;95;00.29;51.32.00;04/08/20 12.16
1777;syarif;27;95;00.29;51.32.00;04/08/20 12.17
1778;syarif;27;95;00.39;50.08.00;04/08/20 12.17
1779;syarif;27;95;00.29;51.32.00;04/08/20 12.17
1780;syarif;27;95;00.39;50.08.00;04/08/20 12.17
1781;syarif;27;95;00.29;51.32.00;04/08/20 12.18
1782;syarif;27;95;00.29;51.32.00;04/08/20 12.18
1783;syarif;27;95;00.29;51.32.00;04/08/20 12.18
1784;syarif;27;95;00.39;50.08.00;04/08/20 12.18
1785;syarif;27;95;00.29;51.32.00;04/08/20 12.19
1786;syarif;27;95;00.29;51.32.00;04/08/20 12.19
1787;syarif;27;95;00.29;51.32.00;04/08/20 12.19
1788;syarif;27;95;00.29;51.32.00;04/08/20 12.19
1789;syarif;27;95;00.39;50.08.00;04/08/20 12.20
